playerID,yearID,votedBy,ballots,needed,votes,inducted,category,needed_note
Ichiro Suzuki,2025,BBWAA,393,295,393,Y,Player,NA
CC Sabathia,2025,BBWAA,393,295,342,Y,Player,NA
Billy Wagner,2025,BBWAA,393,295,325,Y,Player,NA
Carlos Beltrán,2025,BBWAA,393,295,277,N,Player,NA
Andruw Jones,2025,BBWAA,393,295,261,N,Player,NA
Chase Utley,2025,BBWAA,393,295,157,N,Player,NA
Alex Rodriguez,2025,BBWAA,393,295,146,N,Player,NA
Manny Ramirez,2025,BBWAA,393,295,135,N,Player,NA
Andy Pettitte,2025,BBWAA,393,295,110,N,Player,NA
Félix Hernández,2025,BBWAA,393,295,81,N,Player,NA
Bobby Abreu,2025,BBWAA,393,295,77,N,Player,NA
Jimmy Rollins,2025,BBWAA,393,295,71,N,Player,NA
Omar Vizquel,2025,BBWAA,393,295,70,N,Player,NA
Dustin Pedroia,2025,BBWAA,393,295,47,N,Player,NA
Mark Buehrle,2025,BBWAA,393,295,45,N,Player,NA
Francisco Rodríguez,2025,BBWAA,393,295,40,N,Player,NA
David Wright,2025,BBWAA,393,295,32,N,Player,NA
Torii Hunter,2025,BBWAA,393,295,20,N,Player,NA
X-Ian Kinsler,2025,BBWAA,393,295,10,N,Player,NA
X-Russell Martin,2025,BBWAA,393,295,9,N,Player,NA
X-Brian McCann,2025,BBWAA,393,295,7,N,Player,NA
X-Troy Tulowitzki,2025,BBWAA,393,295,4,N,Player,NA
X-Adam Jones,2025,BBWAA,393,295,3,N,Player,NA
X-Curtis Granderson,2025,BBWAA,393,295,3,N,Player,NA
X-Carlos González,2025,BBWAA,393,295,2,N,Player,NA
X-Ben Zobrist,2025,BBWAA,393,295,0,N,Player,NA
X-Fernando Rodney,2025,BBWAA,393,295,0,N,Player,NA
X-Hanley Ramírez,2025,BBWAA,393,295,0,N,Player,NA
